Anse Dufour;97202;"<p>L'Anse Dufour est sans conteste une des
plages les plus charmantes de la Martinique. Une fois garé, il vous
faudra descendre quelques marches pour y accéder mais l'effort en
vaut largement la peine. Vous allez découvrir un hameau de pêcheurs,
comme figé dans le temps. Quelques gommiers au bord de l'eau
attendent gentiment l'heure de la pêche pour enfin entrer dans
l'eau. La plage n'est pas très grande. Elle est d'un sable blond et
fin. La mer quand à elle est d'une limpidité et d'un calme à toute épreuve et
ce n'est pas par hasard si les amateurs de snorkeling et de plongée
en ont fait un des spots les plus appréciés de l'île.</p>
"
Cafard;97206;"<p>L'Anse Cafard est très étendue et accueille notamment le mémorial Cap 110 en hommage à un navire du commerce triangulaire qui s'est échoué durant une tempête, tuant ainsi nombre d'esclaves. Dans sa partie basse, l'Anse Cafard est une longue plage de sable blanc. Elle est bordée sur sa partie extérieure, d'une large partie boisée, avant que le sable ne prenne le relais. Le courant et les vagues se faisant rapidement forts par mauvais temps, il n'est pas rare de voir des algues s'échouer sur la plage. Même par beau temps la baignade reste tonique, idéale si l'on veut juste marcher au bord de l'eau dans un but thérapeutique, les vagues venant vous masser vigoureusement les mollets. Il est conseillé ici, de garder les enfants sous haute surveillance. À noter que malheureusement, comme trop souvent sur nos plages, l'incivilité de certains et le manque de réactivité des communes sont à l'origine de rencontres fortuites avec des ordures.</p>
"
Dizac;97206;"<p>Avec une entrée principale située dans le bourg et rejoignant l'Anse Cafard, la plage de Dizac est une longue plage de sable blanc, coupée en deux par un très grand ponton apprécié des pêcheurs et des photographes. Sur la droite vous pourrez voir le Morne Larcher appelé aussi la Femme Couchée. Bien entendu, vous pourrez aussi observer le rocher du Diamant qui est aujourd'hui interdit au public et qui est devenu il y a quelques années une réserve ornithologique où nombre d'oiseaux viennent nicher en toute tranquillité. Cette plage connaît aussi une eau très agitée et un courant bien présent, bien moindre qu'à l'anse Cafard, formant néanmoins quelquefois ce que l'on appelle des baïnes (sorte de petites piscines où le courant peut vous déstabiliser). Malgré cela et l'imposante présence d'un poste de secours, cette plage n'est pas surveillée, il faut donc y être prudent surtout en présence d'enfant.</p>
"
La Cherry;97206;"<p>Plus isolée que ses consœurs de la
Grande anse, la plage de la Cherry est un ensemble de deux petites criques
jumelles, à la mer beaucoup plus calme qui accueille tout de
même de belles vagues par gros temps. Elles ne sont pas énormément
fréquentées car beaucoup de locaux pensent que ce sont des plages
privées réservées aux hôtels alentours alors que pas du tout !
Cette plage est donc LE bon plan à ne pas trop ébruiter !  </p>
"
Pointe Borgnèse;97217;"<p>Située au Marin, après une petite marche de quelques minutes sur un sentier un peu caillouteux et pentu, vous arriverez à la  jolie plage qu'est Pointe Borgnèse. Pas très large, quelques arbres pour l'ombre, un sable fin, une eau claire et tranquille. Tout y est parfait mais le vrai secret de la pointe Borgnèse réside dans ses fonds marins. Connue par les amateurs de snorkeling, elle est même le point de chute de l'AQUABULLE. Perroquets, gorgones et même, si vous êtes chanceux, quelques tortues pourront vous offrir un spectacle merveilleux. Rappelons tout de même que les coraux, étoiles de mer et autres ne sont pas des souvenirs à ramener, mais sont des espèces vivantes, pour beaucoup protégées qui sont indispensables à l'éco-système de nos fonds marins. Si nous voulons continuer à profiter de ce genre de beauté, n'oublions pas de les respecter.</p>
"
Anse Baleine & Anse Four à Chaux (Cap Macré);97217;"<p>Le Cap Macré est un des derniers
paradis perdus de la Martinique. Une plage qui se mérite d'ailleurs
car l'accès n'en est possible que par un chemin caillouteux et
parfois accidenté. Mais, une fois passée cette étape vous
comprendrez à quel point l'effort n'était rien comparé à ce qui
vous y attend. Une longue plage de sable blanc, fin. Une mer calme, turquoise, avec quelques effets plus sombres, une vue  à vous couper le
souffle avec, vers le large ces vagues venant se briser sur une des
rares barrières de corail de la Martinique. Vous pourrez facilement
vous installer à l'ombre des arbres de la forêt qui borde la plage
sur toute sa longueur. Et pour couronner le tout et en faire un
endroit totalement parfait, de par son accès difficile, cette plage
n'est que peu fréquentée. Profitez !</p>
"
Anse Figuier;97220;"<p>En venant du centre, l'Anse figuier est la première plage que vous allez rencontrer. La route pour y aller a été réaménagée récemment, elle se termine sur un grand parking, il faudra néanmoins finir par une petite centaine de mètres à pied, la plage étant interdite à tous les véhicules à moteur. Vous arriverez sur une large prairie bordant une très jolie large plage de sable blanc et clair. Vous trouverez que l'eau y est très calme, sans beaucoup de courant. On peut faire un peu de snorkeling sur la partie gauche. Au large vous pourrez voir passer quelques voiliers. Cette plage pourrait sembler parfaite, cependant elle accueille souvent des groupes de campeurs  assez bruyants et la plage peut donc devenir aussi bruyante qu'un centre ville. À éviter donc le week-end mais aussi durant les vacances scolaires et les week ends d'affluence tel que pâques.</p>
"
Club Med;97226;"<p>Dans le prolongement de la Pointe Marin vous trouverez la plage du Club Med. Ouverte au public, les infrastructures tel que transat et autres restent par contre uniquement à disposition des clients du Club. Mais rassurez vous, le soleil, le sable et la mer restent gratuits! Outre ces détails techniques, il s'agit de la plage paradisiaque tel que l'on peut l'imaginer: sable blanc et fin, mer limpide, turquoise et calme, quelques cocotiers.... parfait! Cependant soyez tout de même prudent car vous ne trouverez pas beaucoup de zones d'ombre sur cette plage et  le soleil y tape assez fort (question de réverbération etc...) prévoyez donc en conséquence. A noter que vous pourrez y observer un magnifique coucher de soleil par temps clair.</p>
"
Pointe Marin;97226;"<p>La Plage de la Pointe Marin est une jolie plage de sable blanc et fin, elle profite d'une eau turquoise et calme, idéale pour la baignade des jeunes enfants. Vous y trouverez aussi des zones d'ombre sous les raisiniers, afin de pouvoir vous abriter du soleil aux heures les plus chaudes. Le long de la plage vous trouverez différents bars et restaurants, mais aussi des stands de locations de matériels tel que des kayaks. A noter que cette plage est une des rares en Martinique à être surveillée. La plage est souvent prise d'assaut durant les vacances scolaires et les week-ends bien que le parking pour y accéder soit payant (cependant rien ne vous empêche de vous garer gratuitement un peu plus loin et de faire quelques mètres à pieds). Une jolie plage donc, mais à préférer les jours creux pour plus de confort.</p>
"
Anse Caritan;97226;"<p>La plage de l'Anse Caritan est idéale pour les parents ayant de jeunes enfants. Cette jolie plage, bien ombragée, est en effet protégée des vagues par la presqu'île de Sainte-Anne. En dehors de cela, l'Anse Caritan est aussi le point de départ de la randonnée longeant les plages appelée ""La Trace des Caps"". Une jolie plage, mais attention à la fréquentation qui peut y être forte en période touristique du fait de sa proximité avec certaines résidences hôtelières. </p>
"
